Country,province,Disaster Subtype,rate
China,Jiangsu Sheng,lightning/thunderstorms,0.0001137915339098771
China,Jiangsu Sheng,tornado,0.0001137915339098771
China,Jiangsu Sheng,tropical cyclone,0.0003413746017296313
China,Jiangxi Sheng,flood (general),0.0001137915339098771
China,Jiangxi Sheng,riverine flood,0.0004551661356395084
China,Jiangxi Sheng,severe winter conditions,0.0001137915339098771
China,Jiangxi Sheng,tropical cyclone,0.0002275830678197542
China,Jilin Sheng,ground movement,0.0001137915339098771
China,Jilin Sheng,riverine flood,0.0001137915339098771
China,Liaoning Sheng,ground movement,0.0001137915339098771
China,Liaoning Sheng,hail,0.0001137915339098771
China,Liaoning Sheng,landslide (wet),0.0001137915339098771
China,Liaoning Sheng,riverine flood,0.0002275830678197542
China,Liaoning Sheng,severe weather,0.0001137915339098771
China,Nei Mongol Zizhiqu,blizzard/winter storm,0.0001137915339098771
China,Nei Mongol Zizhiqu,cold wave,0.0001137915339098771
China,Nei Mongol Zizhiqu,drought,0.0002275830678197542
China,Nei Mongol Zizhiqu,forest fire,0.0001137915339098771
China,Nei Mongol Zizhiqu,ground movement,0.0002275830678197542
China,Nei Mongol Zizhiqu,riverine flood,0.0001137915339098771
China,Ningxia Huizu Zizhiqu,drought,0.0001137915339098771
China,Qinghai Sheng,ground movement,0.0003413746017296313
China,Qinghai Sheng,lightning/thunderstorms,0.0001137915339098771
China,Qinghai Sheng,severe weather,0.0001137915339098771
China,Shaanxi Sheng,flood (general),0.0001137915339098771
China,Shaanxi Sheng,landslide (wet),0.0002275830678197542
China,Shaanxi Sheng,riverine flood,0.0002275830678197542
China,Shaanxi Sheng,severe weather,0.0003413746017296313
China,Shaanxi Sheng,storm (general),0.0001137915339098771
China,Shandong,tropical cyclone,0.0001137915339098771
China,Shandong Sheng,blizzard/winter storm,0.0001137915339098771
China,Shandong Sheng,lightning/thunderstorms,0.0001137915339098771
China,Shandong Sheng,riverine flood,0.0004551661356395084
China,Shandong Sheng,severe weather,0.0001137915339098771
China,Shandong Sheng,tropical cyclone,0.0002275830678197542
China,Shanghai Shi,tropical cyclone,0.0002275830678197542
China,Shanxi Sheng,drought,0.0001137915339098771
China,Shanxi Sheng,landslide (wet),0.0002275830678197542
China,Shanxi Sheng,storm (general),0.0001137915339098771
China,Sichuan,flood (general),0.0001137915339098771
China,Sichuan,lightning/thunderstorms,0.0001137915339098771
China,Sichuan Sheng,flash flood,0.0001137915339098771
China,Sichuan Sheng,flood (general),0.0001137915339098771
China,Sichuan Sheng,ground movement,0.001024123805188894
China,Sichuan Sheng,"land fire (brush, bush, pasture)",0.0001137915339098771
China,Sichuan Sheng,landslide (dry),0.0001137915339098771
China,Sichuan Sheng,landslide (wet),0.001024123805188894
China,Sichuan Sheng,lightning/thunderstorms,0.0001137915339098771
China,Sichuan Sheng,riverine flood,0.0013654984069185253
China,Sichuan Sheng,storm (general),0.0002275830678197542
China,Sichuan Sheng,tropical cyclone,0.0002275830678197542
China,Tianjin Shi,blizzard/winter storm,0.0001137915339098771
China,Xinjiang Uygur Zizhiqu,flood (general),0.0001137915339098771
China,Xinjiang Uygur Zizhiqu,ground movement,0.0012517068730086482
China,Xinjiang Uygur Zizhiqu,riverine flood,0.0002275830678197542
China,Xinjiang Uygur Zizhiqu,sand/dust storm,0.0001137915339098771
China,Xizang Zizhiqu,blizzard/winter storm,0.0001137915339098771
China,Xizang Zizhiqu,ground movement,0.0001137915339098771
China,Xizang Zizhiqu,landslide (wet),0.0001137915339098771
China,Xizang Zizhiqu,riverine flood,0.0001137915339098771
China,Yunnan,mudslide,0.0001137915339098771
China,Yunnan,riverine flood,0.0001137915339098771
China,Yunnan Sheng,drought,0.0001137915339098771
China,Yunnan Sheng,flash flood,0.0003413746017296313
China,Yunnan Sheng,flood (general),0.0004551661356395084
China,Yunnan Sheng,ground movement,0.0032999544833864363
China,Yunnan Sheng,landslide (dry),0.0001137915339098771
China,Yunnan Sheng,landslide (wet),0.0007965407373691397
China,Yunnan Sheng,lightning/thunderstorms,0.0001137915339098771
China,Yunnan Sheng,riverine flood,0.001137915339098771
China,Yunnan Sheng,tropical cyclone,0.0002275830678197542
China,Zheijiang,storm (general),0.0001137915339098771
China,Zhejiang Sheng,blizzard/winter storm,0.0001137915339098771
China,Zhejiang Sheng,flood (general),0.0004551661356395084
China,Zhejiang Sheng,hail,0.0001137915339098771
China,Zhejiang Sheng,landslide (wet),0.0001137915339098771
China,Zhejiang Sheng,lightning/thunderstorms,0.0001137915339098771
China,Zhejiang Sheng,riverine flood,0.0001137915339098771
China,Zhejiang Sheng,storm (general),0.0001137915339098771
China,Zhejiang Sheng,tropical cyclone,0.001024123805188894
China,and Zhejiang,tropical cyclone,0.0001137915339098771
Cyprus,Larnaca,tornado,0.0001137915339098771
Cyprus,Paphos,drought,0.0001137915339098771
Cyprus,Paphos,heat wave,0.0001137915339098771
Democratic People's Republic of Korea,South Hamgyong,tropical cyclone,0.0001137915339098771
Democratic People's Republic of Korea,and Kangwon,flood (general),0.0001137915339098771
Georgia,Guria,riverine flood,0.0001137915339098771
Georgia,Imereti,drought,0.0001137915339098771
Georgia,Kakheti,lightning/thunderstorms,0.0001137915339098771
Georgia,Tbilisi,flash flood,0.0001137915339098771
India,Andaman and Nicobar,tsunami,0.0001137915339098771
India,Andhra Pradesh,heat wave,0.0002275830678197542
India,Andhra Pradesh,lightning/thunderstorms,0.0001137915339098771
India,Andhra Pradesh,riverine flood,0.0002275830678197542
India,Andhra Pradesh,tropical cyclone,0.0001137915339098771
India,Arunachal Pradesh,flash flood,0.0002275830678197542
India,Arunachal Pradesh,flood (general),0.0001137915339098771
India,Arunachal Pradesh,riverine flood,0.0001137915339098771
India,Assam,ground movement,0.0001137915339098771
India,Assam,hail,0.0001137915339098771
India,Assam,landslide (wet),0.0001137915339098771
India,Assam,riverine flood,0.0005689576695493855
India,Assam,tropical cyclone,0.0002275830678197542
India,Bihar,cold wave,0.0001137915339098771
India,Bihar,heat wave,0.0001137915339098771
India,Bihar,riverine flood,0.0001137915339098771
India,Bihar,storm (general),0.0001137915339098771
India,Bihar,tropical cyclone,0.0001137915339098771
India,Chhattisgarh,riverine flood,0.0001137915339098771
India,Chhattisgarh,tropical cyclone,0.0001137915339098771
India,Delhi,cold wave,0.0002275830678197542
India,Delhi,heat wave,0.0002275830678197542
India,Gujarat,cold wave,0.0001137915339098771
India,Gujarat,lightning/thunderstorms,0.0001137915339098771
India,Gujarat,riverine flood,0.0002275830678197542
India,Haryana,cold wave,0.0001137915339098771
India,Haryana,riverine flood,0.0001137915339098771
India,Haryana,storm (general),0.0001137915339098771
India,Himachal Pradesh,cold wave,0.0001137915339098771
India,Himachal Pradesh,flash flood,0.0001137915339098771
India,Himachal Pradesh,riverine flood,0.0005689576695493855
