Start Year,Country,province,Disaster Subtype,COUNT
2002,Jamaica,Hanover,tropical cyclone,1
2002,Jamaica,Saint Elizabeth,riverine flood,1
2002,Jamaica,Westmoreland,tropical cyclone,1
2002,Mexico,Baja California Sur,cold wave,1
2002,Mexico,Colima,ash fall,1
2002,Mexico,Colima,tropical cyclone,1
2002,Mexico,San Luis Potosi,drought,1
2002,Mexico,San Luis Potosi,flash flood,1
2002,Mexico,Tamaulipas,riverine flood,1
2002,Mexico,Yucatan,tropical cyclone,1
2002,Nicaragua,Rivas,forest fire,1
2002,Nicaragua,Rivas,riverine flood,1
2002,Panama,Chiriqui,riverine flood,1
2002,Panama,Panama,riverine flood,1
2002,Peru,Apurimac,blizzard/winter storm,1
2002,Peru,Huanuco,riverine flood,1
2002,Peru,Puno,riverine flood,1
2002,Peru,Ucayali,drought,1
2002,Saint Vincent and the Grenadines,Saint Patrick,tropical cyclone,1
2002,United States of America,Alaska,forest fire,1
2002,United States of America,Arkansas,blizzard/winter storm,1
2002,United States of America,California,forest fire,1
2002,United States of America,Californie,forest fire,1
2002,United States of America,District of Columbia,blizzard/winter storm,1
2002,United States of America,Nevada,storm (general),1
2002,United States of America,Ohio,storm (general),1
2002,United States of America,Tennessee,tropical cyclone,1
2002,United States of America,Texas,blizzard/winter storm,1
2002,United States of America,Texas,riverine flood,1
2002,United States of America,Texas,storm (general),1
2002,United States of America,Texas,tornado,1
2002,United States of America,Virginia,riverine flood,1
2002,United States of America,Wisconsin,drought,1
2002,United States of America,Wisconsin,storm (general),1
2002,United States of America,Wisconsin,tornado,1
2002,Uruguay,Montevideo,storm (general),1
2002,Uruguay,San Jose,flood (general),1
2002,Venezuela (Bolivarian Republic of),Trujillo,riverine flood,1
2003,Argentina,Buenos Aires,lightning/thunderstorms,1
2003,Argentina,La Rioja,riverine flood,1
2003,Argentina,Santa Fe,drought,1
2003,Argentina,Santa Fe,riverine flood,1
2003,Bolivia (Plurinational State of),Beni,riverine flood,1
2003,Bolivia (Plurinational State of),La Paz,flash flood,1
2003,Bolivia (Plurinational State of),Santa Cruz,riverine flood,1
2003,Brazil,Espirito Santo,riverine flood,2
2003,Brazil,Rio de Janeiro,riverine flood,1
2003,Brazil,Sao Paulo,riverine flood,1
2003,Canada,Bristish Columbia,riverine flood,1
2003,Canada,Manitoba,forest fire,1
2003,Canada,Newfoundland and Labrador,riverine flood,1
2003,Canada,Prince Edward Island,tropical cyclone,1
2003,Canada,Quebec,flash flood,1
2003,Colombia,Cordoba,riverine flood,1
2003,Colombia,Valle del Cauca,riverine flood,1
2003,Dominican Republic,Baoruco,tropical cyclone,1
2003,Dominican Republic,Valverde,coastal flood,1
2003,Guatemala,San Marcos,landslide (wet),1
2003,Haiti,Nord Ouest,drought,1
2003,Honduras,Cortes,flood (general),1
2003,Honduras,Yoro,riverine flood,1
2003,Mexico,Baja California,tropical cyclone,1
2003,Mexico,Baja California Sur,tropical cyclone,1
2003,Mexico,Oaxaca,landslide (wet),1
2003,Mexico,Sonora,forest fire,1
2003,Mexico,Tabasco,coastal flood,1
2003,Mexico,Tlaxcala,cold wave,1
2003,Panama,Chiriqui,ground movement,1
2003,Panama,Colon,riverine flood,1
2003,Peru,Apurimac,cold wave,1
2003,Peru,Huanuco,riverine flood,1
2003,Peru,Ica,riverine flood,1
2003,Puerto Rico,San Juan,tropical cyclone,1
2003,United States of America,Arizona,forest fire,1
2003,United States of America,California,forest fire,1
2003,United States of America,California,ground movement,1
2003,United States of America,Connecticut,blizzard/winter storm,1
2003,United States of America,District of Columbia,tropical cyclone,1
2003,United States of America,Georgia,riverine flood,1
2003,United States of America,Rhode Island,blizzard/winter storm,1
2003,United States of America,Tennessee,tornado,1
2003,United States of America,Texas,blizzard/winter storm,1
2003,United States of America,Texas,storm (general),1
2003,United States of America,Vermont,storm (general),1
2003,United States of America,Virginia,storm (general),1
2003,United States of America,Wisconsin,storm (general),1
2003,United States of America,Wyoming,blizzard/winter storm,1
2003,Uruguay,Treinta y Tres,riverine flood,1
2004,Argentina,Buenos Aires,cold wave,1
2004,Argentina,Neuquen,riverine flood,1
2004,Barbados,Christ Church,tropical cyclone,1
2004,Bolivia (Plurinational State of),Tarija,drought,1
2004,Brazil,Parana,cold wave,1
2004,Brazil,Paraíba,flash flood,1
2004,Brazil,Pernambuco,drought,1
2004,Canada,Manitoba,riverine flood,1
2004,Canada,Prince Edward Island,blizzard/winter storm,1
2004,Canada,Quebec,flash flood,1
2004,Chile,Valparaiso,cold wave,1
2004,Colombia,Vichada,riverine flood,1
2004,Costa Rica,Limon,riverine flood,1
2004,Costa Rica,Puntarenas,ground movement,1
2004,Cuba,Isla De La Juventud,tropical cyclone,1
2004,Cuba,La Habane,drought,1
2004,Cuba,Santiago de Cuba,tropical cyclone,1
2004,Dominican Republic,La Altagracia,tropical cyclone,1
2004,Dominican Republic,Sanchez Ramirez,riverine flood,1
2004,Dominican Republic,Valverde,tropical cyclone,2
2004,Haiti,Nord Ouest,tropical cyclone,1
2004,Haiti,Ouest,riverine flood,1
2004,Honduras,Yoro,drought,1
2004,Jamaica,Saint Andrew And Kingston,tropical cyclone,1
2004,Mexico,Coahuila,flash flood,1
2004,Nicaragua,Atlantico Sur,mudslide,1
2004,Panama,Colon,flash flood,1
2004,Panama,Embera,riverine flood,1
2004,Paraguay,San Pedro,cold wave,1
2004,Peru,Cuzco,mudslide,1
2004,Peru,San Martin,riverine flood,1
2004,Peru,Ucayali,cold wave,1
2004,Puerto Rico,San Juan,tropical cyclone,2
2004,Saint Lucia,Region Number 8,tropical cyclone,1
2004,Saint Vincent and the Grenadines,Saint Patrick,tropical cyclone,1
2004,Turks and Caicos Islands,Providenciales and West Caicos,tropical cyclone,1
2004,United States Virgin Islands,Saint Croix,tropical cyclone,1
2004,United States of America,California,forest fire,1
2004,United States of America,Hawaii,riverine flood,1
2004,United States of America,Louisiana,lightning/thunderstorms,1
2004,United States of America,Maine,blizzard/winter storm,1
2004,United States of America,Mississippi,lightning/thunderstorms,1
2004,United States of America,Mississippi,tornado,1
2004,United States of America,New Jersey,riverine flood,1
2004,United States of America,North Carolina,tropical cyclone,2
2004,United States of America,Ohio,tropical cyclone,1
2004,United States of America,Oklahoma,hail,1
2004,United States of America,South Carolina,hail,1
2004,United States of America,Tennessee,tropical cyclone,1
2004,United States of America,Vermont,cold wave,1
2004,United States of America,Wisconsin,riverine flood,1
2004,Venezuela (Bolivarian Republic of),Miranda,riverine flood,1
2004,Venezuela (Bolivarian Republic of),Vargas,tropical cyclone,1
2005,Argentina,Buenos Aires,storm (general),1
2005,Belize,Toledo,tropical cyclone,2
2005,Bolivia (Plurinational State of),Pando,forest fire,1
2005,Canada,Alberta,riverine flood,1
2005,Canada,Newfoundland and Labrador,riverine flood,1
2005,Chile,Biobio,blizzard/winter storm,1
2005,Chile,Maule,riverine flood,1
2005,Chile,Tarapaca,ground movement,1
2005,Colombia,Cordoba,riverine flood,1
2005,Colombia,Magdalena,riverine flood,1
2005,Colombia,San Andres y Providencia,tropical cyclone,1
2005,Colombia,Tolima,riverine flood,1
2005,Costa Rica,Puntarenas,tropical cyclone,1
2005,Cuba,Guatanamo,tropical cyclone,1
2005,Cuba,Isla De La Juventud,tropical cyclone,1
2005,Dominican Republic,Sanchez Ramirez,flood (general),1
2005,El Salvador,La Libertad,tropical cyclone,1
