STATE,danger_factor
ALABAMA,4.9273959341723135
ALASKA,0.036786060019361085
AMERICAN SAMOA,0.06292352371732818
ARIZONA,4.495643756050339
ARKANSAS,4.541142303969022
CALIFORNIA,5.031945788964182
COLORADO,6.5759922555663115
CONNECTICUT,0.797676669893514
DELAWARE,0.2149080348499516
DISTRICT OF COLUMBIA,0.09874152952565343
FLORIDA,3.3552758954501454
GEORGIA,3.941916747337851
GUAM,0.10551790900290417
HAWAII,1.5779283639883834
IDAHO,0.3969022265246854
ILLINOIS,5.858664085188771
INDIANA,2.291384317521781
IOWA,7.699903194578896
KANSAS,8.985479186834462
KENTUCKY,4.042594385285576
LOUISIANA,3.8151016456921587
MAINE,0.7134559535333979
MARYLAND,1.222652468538238
MASSACHUSETTS,0.8218780251694096
MICHIGAN,1.2013552758954502
MINNESOTA,6.257502420135527
MISSISSIPPI,5.283639883833494
MISSOURI,6.496611810261375
MONTANA,2.824782187802517
NEBRASKA,9.376573088092933
NEVADA,0.4656340755082285
NEW HAMPSHIRE,0.8954501452081316
NEW JERSEY,2.1442400774443366
NEW MEXICO,6.321393998063892
NEW YORK,3.484027105517909
NORTH CAROLINA,3.0029041626331074
NORTH DAKOTA,3.025169409486931
OHIO,2.1268151016456924
OKLAHOMA,10.830590513068731
OREGON,0.19748305905130686
PENNSYLVANIA,3.354307841239109
PUERTO RICO,1.0571151984511131
RHODE ISLAND,0.21393998063891578
SOUTH CAROLINA,1.962245885769603
SOUTH DAKOTA,6.3785091965150045
TENNESSEE,4.116166505324299
TEXAS,26.904162633107454
UTAH,1.3533397870280737
VERMONT,0.3697967086156825
VIRGIN ISLANDS,0.05614714424007745
VIRGINIA,3.10648596321394
WASHINGTON,0.2855759922555663
WEST VIRGINIA,1.4878993223620522
WISCONSIN,3.7095837366892543
WYOMING,1.6069699903194579
